0000,0.2
000P,0.5263
AB19,36.5208
AE19,4.547
AG19,18.035
AG29,5.6087
AH11,11.9467
AH15,8.5945
BB11,4.5591
BB13,3.8414
BB15,2.9053
BB21,7.5436
BB25,5.925
BC19,6.5895
BC21,6.1032
BC23,5.619
BC25,4.0245
BD11,4.9462
BD15,4.0139
BD29,5.339
BE19,3.6431
BE29,8.2801
BJ13,1.4447
BJ15,1.2044
BL19,2.1573
BM11,1.9134
BM15,1.4184
BQY,2.0086
BR11,2.5583
BR15,1.8061
BR21,1.2461
BR23,1.0868
BR25,0.8868
BS11,0.9202
BS13,0.7727
BS15,0.6845
BT13,1.1988
BT15,0.7118
BT21,1.393
BT23,1.2516
BT25,0.734
BU11,1.451
BU15,1.2279
BU21,1.1358
BU25,0.7595
BU31,1.9861
BU33,0.9804
BU35,0.745
BV11,1.0709
BV13,0.9579
BV15,0.6778
BV21,1.1385
BV23,0.9985
BV25,0.7381
BV39,0.5894
BW19,1.0223
BW23,1.0834
BW25,0.5997
BX11,1.1165
BX13,0.8694
BX15,0.6778
BX29,0.8122
BY11,1.4669
BY13,1.4172
BY15,0.8061
BY21,1.0219
BY23,0.8984
BY25,0.6064
BZ11,0.8282
BZ13,0.7439
BZ15,0.5591
CB19,1.4338
CB29,0.6678
CB39,0.5206
CB49,0.525
CC19,0.5341
CD19,0.8347
CD29,1.3456
CJ19,0.4954
CQY,1.0566
CR19,0.6111
CS19,0.8304
CT19,0.3606
CU19,0.2994
CV19,0.2082
CW19,0.2099
CX19,0.6241
CZ19,0.3385
DA19,2.233
DB19,1.221
DB29,5.4092
DB39,1.252
DC19,1.4382
DC29,0.769
DD19,1.3027
DD29,1.2867
DE13,1.042
DE15,0.687
DE29,0.9359
DG19,1.0279
DG29,1.5271
DJ13,0.9756
DJ15,0.821
DK19,0.7122
DQY,0.7753
DR19,0.741
DS19,0.562
DT19,0.6047
DT29,0.3355
DU19,0.6174
DV19,0.458
DW19,0.4322
DZ19,0.456
EB19,4.47
EB29,2.6031
EC11,2.1074
EC15,2.0074
EC29,2.6328
ED11,2.7209
ED13,1.7
ED15,1.0619
EJ11,3.387
EJ13,1.4814
EJ15,1.1699
EQY,1.8727
ER13,1.2602
ER15,0.7957
ER21,1.57
ER25,0.9139
ER31,1.4985
ER33,1.2765
ER35,1.1643
ES11,0.8563
ES15,0.5215
ES21,2.1165
ES23,1.5961
ES25,0.813
ES31,2.3528
ES33,1.078
ES35,0.7413
ET11,1.603
ET13,0.9587
